,Precio,Metros Cuadrados,Habitaciones,Baños,Parqueadero,Estrato,Localidad,Barrio,Contacto,Robo_Personas,Homicidios
0,1650000000,250,3.0,3,,6, Chapinero,Chicó Alto,0,5578,6
1,410000000,53,1.0,2,,5, Usaquén,Rincón Del Chicó,0,5376,29
2,583300000,106,3.0,3,,6, Suba,Niza Suba - Torres Del Monte,0,7567,43
3,520000000,130,3.0,3,,6, Usaquén,Rincón De Santa Paula,3165279629,5376,29
4,350000000,118,3.0,3,Si,3, Suba,Cantalejo,0,7567,43
5,214000000,39,1.0,1,No,4, Suba,Las Villas Sector III,0,7567,43
6,120000000,72,3.0,1,,2, Suba,Niza Norte - Ocales De Niza,0,7567,43
7,300000000,130,4.0,3,No,3, Suba,Cantalejo,3134838796,7567,43
8,950000000,307,4.0,2,Si,5, Suba,El Divino Salvador,0,7567,43
9,790000000,137,3.0,3,Si,5, Usaquén,Santa Bárbara Norte,3004126183,5376,29
10,285000000,95,3.0,2,Si,3, Suba,Granada Norte,0,7567,43
11,750000000,130,3.0,3,Si,5, Usaquén,La Calleja Santacoloma,0,5376,29
12,13000000,25,2.0,0,No,3, Suba,Prado Pinzon,0,7567,43
13,780000000,152,3.0,3,,6, Usaquén,Santa Bárbara Central I Sector,3142347763,5376,29
14,550000000,150,3.0,4,,6, Usaquén,Santa Bárbara Central I Sector,3158574462,5376,29
15,3900000000,410,3.0,3,,6, Chapinero,El Refugio,0,5578,6
16,695000000,110,3.0,3,,6, Chapinero,Chicó Norte III Sector,0,5578,6
17,840000000,143,3.0,3,,5, Suba,Campos De Silencio,0,7567,43
18,480000000,89,3.0,2,,4, Suba,Colpatria Santa Helena,3165279629,7567,43
19,366000000,56,1.0,1,,5, Usaquén,Los Cedros,3007599298,5376,29
20,694814500,85,2.0,3,,5, Usaquén,Santa Bárbara Oriental,3007599298,5376,29
21,370000000,57,1.0,1,,4, Usaquén,Cedro Bolívar II Sector,0,5376,29
22,570000000,92,2.0,2,,5, Suba,Urbanización Alhambra Sur Oriental,0,7567,43
23,2100000000,244,3.0,3,,6, Chapinero,Chicó Norte III Sector,0,5578,6
24,1079000000,125,3.0,3,,6, Usaquén,Santa Bibiana,0,5376,29
25,2200000000,253,3.0,3,,6, Chapinero,El Retiro,3185324068,5578,6
26,4000000000,326,3.0,3,,6, Chapinero,Los Rosales,3185324068,5578,6
27,760000000,128,2.0,3,,6, Usaquén,Santa Bárbara Central IV Sector,3185324068,5376,29
28,650000000,76,1.0,2,,6, Chapinero,Chicó Reservado,0,5578,6
29,420000000,50,1.0,1,,6, Usaquén,San Patricio,0,5376,29
30,750000000,132,3.0,3,,6, Usaquén,San Patricio,0,5376,29
31,620000000,76,1.0,2,,6, Chapinero,Conjunto Hotelero Los Rosales,0,5578,6
32,560000000,74,1.0,2,,6, Usaquén,San Patricio,0,5376,29
33,1680000000,230,3.0,4,,6, Chapinero,El Retiro,0,5578,6
34,539000000,100,3.0,3,,6, Usaquén,Santa Bárbara Central I Y II,0,5376,29
35,730000000,129,3.0,3,,5, Usaquén,Santa Bárbara Oriental,0,5376,29
36,1150000000,198,4.0,5,,6, Suba,Niza Suba - El Balcón De Lindaraja,0,7567,43
37,558000000,122,2.0,2,,5, Chapinero,Chicó Reservado II Sector,0,5578,6
38,362114000,54,1.0,2,,5, Usaquén,La Calleja Santacoloma,0,5376,29
39,930000000,170,3.0,3,,6, Chapinero,Chicó Norte III Sector,0,5578,6
40,410000000,68,2.0,2,Si,4, Suba,Niza Norte - Ocales De Niza,0,7567,43
41,525000000,109,3.0,3,Si,5, Usaquén,Cedritos,3054109557,5376,29
42,530000000,67,1.0,2,Si,6, Chapinero,Chicó Norte III Sector,3232437459,5578,6
43,275000000,64,3.0,2,Si,3, Suba,La Sultana,0,7567,43
44,376000000,90,4.0,2,Si,4, Usaquén,Villas De Aranjuez,0,5376,29
45,580000000,97,3.0,2,Si,5, Suba,Prado Veraniego Sur - Córdoba Niza IX,0,7567,43
46,288000000,66,3.0,2,Si,4, Usaquén,Calamari,0,5376,29
47,1500000000,240,3.0,5,,6, Chapinero,Chicó Alto,0,5578,6
48,1380000000,157,3.0,4,,6, Usaquén,La Carolina,0,5376,29
49,290000000,79,3.0,3,,4, Usaquén,Villa Magdala,0,5376,29
50,220000000,56,4.0,1,No,3, Usaquén,Santa Teresa,0,5376,29
51,550000000,72,2.0,2,Si,6, Chapinero,Chicó Norte,0,5578,6
52,250000000,65,2.0,1,Si,4, Suba,Britalia - Las Margaritas,3204032071,7567,43
53,125637215,188,3.0,2,,1, Suba,Canódromo,13203509888,7567,43
54,395729606,88,3.0,3,,4, Usaquén,Parques De Lorena,0,5376,29
55,269955554,66,2.0,2,,4, Suba,Puente Largo Sector I Y II,0,7567,43
56,468971568,94,2.0,2,,4, Usaquén,El Contador,13203509888,5376,29
57,515458125,144,4.0,4,,5, Usaquén,Santa Bárbara Central III Sector,0,5376,29
58,530000000,98,3.0,3,,5, Usaquén,El Contador,0,5376,29
59,870000000,240,4.0,4,,4, Suba,La Floresta Norte,0,7567,43
60,72620207,29,1.0,1,,3, Suba,Canódromo,0,7567,43
61,248095154,64,3.0,2,,5, Suba,Atenas - Asturias,13203509888,7567,43
62,4492894500,340,3.0,3,,6, Suba,Canódromo,0,7567,43
63,532214000,67,2.0,2,,4, Usaquén,Cedro Golf Club,0,5376,29
64,849000000,297,6.0,5,,4, Usaquén,Cedro Bolívar II Sector,3185324068,5376,29
65,3600000000,257,3.0,5,,6, Chapinero,El Retiro,0,5578,6
66,1850000000,243,3.0,3,,6, Chapinero,La Cabrera,0,5578,6
67,3000000000,270,3.0,5,,6, Chapinero,El Refugio,0,5578,6
