,Localidad,Robo_Personas,Homicidios,Promedio,id
0,CHAPINERO,5578,6,1242553621.6074767,2
1,USAQUEN,5376,29,738350161.5709343,1
2,SUBA,7567,43,553298142.682,11
86,BARRIOS UNIDOS,2975,10,1026022394.9523809,12
277,ENGATIVA,8151,32,458086704.67836255,10
803,TEUSAQUILLO,3506,9,769561842.9627907,13
827,SANTA FE,3255,36,489554305.51376146,3
853,PUENTE ARANDA,3778,16,491002012.08870965,16
1047,LOS MARTIRES,2849,54,559323809.5238096,14
1303,FONTIBON,4739,21,517802019.0185185,9
1304,KENNEDY,8439,136,358982497.65319866,8
1311,BOSA,4422,85,203228289.84242424,7
1312,CIUDAD BOLIVAR,3591,156,270552487.283237,19
1321,TUNJUELITO,1736,21,393875731.4285714,6
1337,RAFAEL URIBE URIBE,2805,69,409374149.65986395,18
1569,ANTONIO NARIÑO,1788,11,457645172.7058824,15
1916,CANDELARIA,665,6,930249592.6829268,17
1932,SAN CRISTOBAL,2365,48,253686792.66363636,4
2551,USME,1646,51,255043588.88934427,5
