,Precio,Localidad,Robo_Personas,Homicidios,Promedio
0,1650000000,CHAPINERO,5578,6,1242553621.6074767
1,410000000,USAQUEN,5376,29,738350161.5709343
2,583300000,SUBA,7567,43,553298142.682
3,520000000,USAQUEN,5376,29,738350161.5709343
4,350000000,SUBA,7567,43,553298142.682
5,214000000,SUBA,7567,43,553298142.682
6,120000000,SUBA,7567,43,553298142.682
7,300000000,SUBA,7567,43,553298142.682
8,950000000,SUBA,7567,43,553298142.682
9,790000000,USAQUEN,5376,29,738350161.5709343
10,285000000,SUBA,7567,43,553298142.682
11,750000000,USAQUEN,5376,29,738350161.5709343
12,13000000,SUBA,7567,43,553298142.682
13,780000000,USAQUEN,5376,29,738350161.5709343
14,550000000,USAQUEN,5376,29,738350161.5709343
15,3900000000,CHAPINERO,5578,6,1242553621.6074767
16,695000000,CHAPINERO,5578,6,1242553621.6074767
17,840000000,SUBA,7567,43,553298142.682
18,480000000,SUBA,7567,43,553298142.682
19,366000000,USAQUEN,5376,29,738350161.5709343
20,694814500,USAQUEN,5376,29,738350161.5709343
21,370000000,USAQUEN,5376,29,738350161.5709343
22,570000000,SUBA,7567,43,553298142.682
23,2100000000,CHAPINERO,5578,6,1242553621.6074767
24,1079000000,USAQUEN,5376,29,738350161.5709343
25,2200000000,CHAPINERO,5578,6,1242553621.6074767
26,4000000000,CHAPINERO,5578,6,1242553621.6074767
27,760000000,USAQUEN,5376,29,738350161.5709343
28,650000000,CHAPINERO,5578,6,1242553621.6074767
29,420000000,USAQUEN,5376,29,738350161.5709343
30,750000000,USAQUEN,5376,29,738350161.5709343
31,620000000,CHAPINERO,5578,6,1242553621.6074767
32,560000000,USAQUEN,5376,29,738350161.5709343
33,1680000000,CHAPINERO,5578,6,1242553621.6074767
34,539000000,USAQUEN,5376,29,738350161.5709343
35,730000000,USAQUEN,5376,29,738350161.5709343
36,1150000000,SUBA,7567,43,553298142.682
37,558000000,CHAPINERO,5578,6,1242553621.6074767
38,362114000,USAQUEN,5376,29,738350161.5709343
39,930000000,CHAPINERO,5578,6,1242553621.6074767
40,410000000,SUBA,7567,43,553298142.682
41,525000000,USAQUEN,5376,29,738350161.5709343
42,530000000,CHAPINERO,5578,6,1242553621.6074767
43,275000000,SUBA,7567,43,553298142.682
44,376000000,USAQUEN,5376,29,738350161.5709343
45,580000000,SUBA,7567,43,553298142.682
46,288000000,USAQUEN,5376,29,738350161.5709343
47,1500000000,CHAPINERO,5578,6,1242553621.6074767
48,1380000000,USAQUEN,5376,29,738350161.5709343
49,290000000,USAQUEN,5376,29,738350161.5709343
50,220000000,USAQUEN,5376,29,738350161.5709343
51,550000000,CHAPINERO,5578,6,1242553621.6074767
52,250000000,SUBA,7567,43,553298142.682
53,125637215,SUBA,7567,43,553298142.682
54,395729606,USAQUEN,5376,29,738350161.5709343
55,269955554,SUBA,7567,43,553298142.682
56,468971568,USAQUEN,5376,29,738350161.5709343
57,515458125,USAQUEN,5376,29,738350161.5709343
58,530000000,USAQUEN,5376,29,738350161.5709343
59,870000000,SUBA,7567,43,553298142.682
60,72620207,SUBA,7567,43,553298142.682
61,248095154,SUBA,7567,43,553298142.682
62,4492894500,SUBA,7567,43,553298142.682
63,532214000,USAQUEN,5376,29,738350161.5709343
64,849000000,USAQUEN,5376,29,738350161.5709343
65,3600000000,CHAPINERO,5578,6,1242553621.6074767
66,1850000000,CHAPINERO,5578,6,1242553621.6074767
67,3000000000,CHAPINERO,5578,6,1242553621.6074767
68,2760000000,CHAPINERO,5578,6,1242553621.6074767
69,1000000000,CHAPINERO,5578,6,1242553621.6074767
70,850000000,USAQUEN,5376,29,738350161.5709343
71,285500000,SUBA,7567,43,553298142.682
72,440500000,SUBA,7567,43,553298142.682
73,450000000,SUBA,7567,43,553298142.682
